icao24,callsign,origin_country,time_position,last_contact,lon,lat,alt,on_ground,velocity,heading,vertical_rate,sensors,alt.1,squawk,spi,position_source
3c7a43,CFG2367 ,Germany,1775073797.0,1775073797,73.9044,30.2802,10972.8,False,227.73,305.81,0.0,,11308.08,,False,0
4007f0,BAW2230 ,United Kingdom,1775071754.0,1775071754,78.1441,27.4761,10363.2,False,233.81,308.03,0.0,,10751.82,6113.0,False,0
4007f0,BAW2230 ,United Kingdom,1775073520.0,1775073894,74.771,29.7328,10363.2,False,238.93,306.15,0.0,,10706.1,6113.0,False,0
40621c,BAW12   ,United Kingdom,1775071729.0,1775071729,83.598,23.5938,9753.6,False,235.91,312.7,0.0,,10203.18,2271.0,False,0
40621c,BAW12   ,United Kingdom,1775074025.0,1775074025,79.3895,26.5957,9753.6,False,240.14,308.56,0.0,,10142.22,,False,0
40621c,BAW12   ,United Kingdom,1775074079.0,1775074079,79.2875,26.6688,9753.6,False,240.14,308.56,0.0,,10142.22,,False,0
406d78,BAW16   ,United Kingdom,1775071754.0,1775071754,80.1678,26.2908,10972.8,False,230.1,308.92,-0.33,,11414.76,134.0,False,0
406d78,BAW16   ,United Kingdom,1775074026.0,1775074026,75.8554,29.0652,10972.8,False,234.57,303.55,-0.33,,11346.18,134.0,False,0
406d78,BAW16   ,United Kingdom,1775074080.0,1775074080,75.7474,29.128,10972.8,False,234.71,303.38,0.33,,11346.18,134.0,False,0
406d7b,BAW34   ,United Kingdom,1775071754.0,1775071754,76.8445,26.3207,10965.18,False,225.78,298.14,0.0,,11407.14,,False,0
4074e4,BAW35   ,United Kingdom,1775074025.0,1775074025,68.7927,18.6498,12489.18,False,269.96,118.08,-0.33,,13037.82,,False,0
4074e4,BAW35   ,United Kingdom,1775074079.0,1775074079,68.9131,18.5884,12489.18,False,267.42,117.99,0.0,,13037.82,,False,0
44007c,AUA8    ,Austria,1775071746.0,1775071750,84.9305,23.2411,9753.6,False,223.45,290.06,-0.33,,10226.04,317.0,False,0
44007c,AUA8    ,Austria,1775073923.0,1775073923,80.8302,25.5704,10363.2,False,228.94,307.51,0.0,,10797.54,6133.0,False,0
461f4e,FIN141  ,Finland,1775071747.0,1775071747,84.5065,24.7761,11887.2,False,255.92,160.87,-0.33,,12352.02,6033.0,False,0
461f4e,FIN141  ,Finland,1775074025.0,1775074025,88.9965,21.0791,11887.2,False,268.87,129.72,-0.33,,12473.94,6033.0,False,0
461f4e,FIN141  ,Finland,1775074079.0,1775074079,89.104,20.9952,11887.2,False,268.87,129.72,0.0,,12473.94,6033.0,False,0
48455e,KLM836  ,Kingdom of the Netherlands,1775073989.0,1775074025,88.4765,17.6634,34046.16,False,251.37,315.41,0.0,,34533.84,,False,0
48455e,KLM836  ,Kingdom of the Netherlands,1775074074.0,1775074074,88.3357,17.8002,9144.0,False,251.37,315.41,0.0,,9631.68,2261.0,False,0
485e2d,KLM871  ,Kingdom of the Netherlands,1775071749.0,1775071749,74.4605,31.3663,11887.2,False,266.61,102.48,0.0,,12214.86,,False,0
485e2d,KLM871  ,Kingdom of the Netherlands,1775074025.0,1775074025,76.9988,28.565,640.08,False,87.84,103.55,-5.2,,601.98,,False,0
485e2d,KLM871  ,Kingdom of the Netherlands,1775074079.0,1775074079,77.0426,28.5556,426.72,False,79.98,103.77,-4.55,,365.76,,False,0
49d26c,SEJ193  ,Czech Republic,1775071754.0,1775071754,78.0966,28.475,5989.32,False,178.32,295.83,-8.45,,6225.54,2656.0,False,0
49d276,SEJ461  ,Czech Republic,1775071753.0,1775071753,73.5259,18.2825,10668.0,False,231.86,157.7,0.0,,11201.4,,False,0
49d276,SEJ461  ,Czech Republic,1775074025.0,1775074025,76.7023,14.6415,9471.66,False,226.36,147.72,-10.4,,9982.2,,False,0
49d276,SEJ461  ,Czech Republic,1775074078.0,1775074079,76.7618,14.5502,8907.78,False,221.78,147.6,-9.43,,9380.22,,False,0
4b1880,,Switzerland,1775071754.0,1775071754,72.8232,19.0883,548.64,False,86.95,269.32,12.68,,-45.72,,False,0
4ba945,THY85   ,Turkey,1775071753.0,1775071753,82.8416,26.5022,9753.6,False,223.52,293.32,0.0,,10157.46,2743.0,False,0
4ba945,THY85   ,Turkey,1775074025.0,1775074025,77.9879,28.2956,9753.6,False,231.37,291.66,0.0,,10126.98,2743.0,False,0
4ba945,THY85   ,Turkey,1775074079.0,1775074079,77.8698,28.3372,9753.6,False,231.37,291.66,0.0,,10119.36,2743.0,False,0
4ba94d,THY71   ,Turkey,1775071754.0,1775071754,81.75,26.8471,9144.0,False,232.94,294.81,0.0,,9517.38,5327.0,False,0
4ba94d,THY71   ,Turkey,1775074026.0,1775074026,76.7426,28.6884,9144.0,False,241.05,298.7,0.0,,9486.9,5327.0,False,0
4ba94d,THY71   ,Turkey,1775074079.0,1775074080,76.6258,28.7449,9144.0,False,242.44,298.79,0.0,,9479.28,5327.0,False,0
4ba956,THY73   ,Turkey,1775071631.0,1775071636,85.6345,25.4957,9144.0,False,228.52,281.03,0.0,,9540.24,3103.0,False,0
4ba956,THY73   ,Turkey,1775073931.0,1775073931,80.7125,27.3053,9144.0,False,235.89,292.71,0.0,,9525.0,3103.0,False,0
4bb0e1,THY58   ,Turkey,1775071754.0,1775071754,82.6268,25.6605,11887.2,False,271.39,134.23,0.0,,12352.02,,False,0
4bb0e1,THY58   ,Turkey,1775074025.0,1775074025,88.2051,22.8155,11887.2,False,282.26,121.66,0.33,,12435.84,5151.0,False,0
4bb0e1,THY58   ,Turkey,1775074078.0,1775074078,88.3282,22.7451,11887.2,False,282.26,121.66,0.0,,12435.84,5151.0,False,0
4bb0e2,THY067  ,Turkey,1775071754.0,1775071754,82.406,25.7602,11582.4,False,219.16,306.6,0.0,,12047.22,4137.0,False,0
4bb0e2,THY067  ,Turkey,1775074025.0,1775074025,78.6269,28.9119,11582.4,False,231.06,316.35,0.0,,11963.4,4137.0,False,0
